border_vertices
0
1
2
3
4
5
6
7
8
9
10
11
25
43
49
56
80
82
85
90
100
102
111
149
163
167
170
180
191
197
206
222
231
236
259
265
271
283
287
304
338
339
359
360
373
374
380
387
389
392
396
400
403
407
411
446
461
471
472
477
494
505
512
517
530
532
533
539
548
549
550
562
564
567
575
596
612
620
654
660
680
700
716
740
775
783
792
794
810
813
819
828
839
851
858
871
885
890
901
913
920
932
934
946
951
964
980
990
1006
1016
1023
1047
1051
1076
1103
1112
1138
1139
1140
1146
1153
1161
1162
1167
1169
1174
1175
1178
1179
1184
1185
1196
1214
1218
1221
1232
1239
1245
1250
1252
1273
1274
1275
1289
1314
1326
1330
1331
1336
1345
1365
1371
1374
1381
1382
1386
1404
1408
1442
1461
1466
1486
1499
1500
1501
1508
1550
1559
1560
1579
1590
1614
1620
1627
1635
1636
1641
1665
1689
1690
1695
1701
1711
1714
1734
1736
1759
1762
1765
1766
1780
1782
1785
1793
1799
1809
1829
1833
1849
1853
1865
1868
1881
1885
1892
1920
1934
1943
1953
1984
1988
2008
2023
2026
2057
2065
2085
2096
2099
2101
2115
2136
2137
2178
2182
2187
2189
2192
2193
2204
2205
2206
2211
2215
2216
2218
2220
2231
2232
2233
2242
2244
2259
2267
2269
2275
2278
2281
2282
2285
2290
2295
2299
2311
2329
2333
2341
2347
2354
2357
2365
2383
2384
2399
2423
2424
2425
2429
2435
2454
2463
2464
2476
2488
2489
2490
2496
2508
2513
2556
2561
2588
2618
2619
2623
2625
2626
2640
2660
2668
2684
2685
2697
2710
2716
2718
2732
2743
2759
2762
2784
2810
2815
2819
2823
2839
2851
2853
2866
2886
2904
2921
2944
2952
2988
2989
3023
3035
3043
3047
3059
3090
3094
3116
3119
3131
3133
3134
3155
3157
3158
3168
3177
3195
3199
3203
3212
3243
3244
3265
3278
3279
3280
3286
3296
3299
3300
3301
3302
3303
3308
3310
3311
3362
3398
3404
3408
3409
3437
3438
3439
3455
3474
3483
3487
3501
3516
3531
3542
3553
3568
3569
3589
3591
3597
3599
3638
3651
3659
3675
3677
3680
3682
3684
3686
3691
3696
3721
3773
3775
3776
3796
3842
3845
3895
3896
3904
3905
3919
3920
3924
3928
3933
3949
3950
3972
3978
3982
3984
3989
4010
4020
4049
4053
4064
4097
4105
4114
4118
4130
4149
4159
4161
4166
4178
4192
4195
4196
4198
4200
4203
4205
4213
4215
4225
4226
4229
4234
4235
4236
4242
4251
4252
4276
4277
4278
4281
4293
4301
4305
4329
4330
4333
4335
4379
4380
4392
4394
4395
4412
4413
4446
4457
4470
4483
4494
4497
4499
4501
4525
4529
4538
4543
4566
4570
4579
4580
4606
4607
4609
4614
4620
4630
4636
4661
4681
4712
4746
4749
4757
4759
4771
4779
4780
4813
4814
4829
4852
4854
4857
4859
4874
4879
4881
4884
4886
4887
4901
4903
4911
4915
4936
4943
4947
