StimR,ChanR,probability
G_precentral,G_front_middle,0.1095
G_oc-temp_med-Lingual,G_front_middle,0.0215
S_oc-temp_med_and_Lingual,G_front_middle,0.056
S_oc-temp_lat,G_front_middle,0.0255
G_oc-temp_lat-fusifor,G_front_middle,0.025
S_collat_transv_post,G_front_middle,0.0
S_collat_transv_ant,G_front_middle,0.021
Pole_temporal,G_front_middle,0.0285
G_oc-temp_med-Parahip,G_front_middle,0.0445
PosteroHippocampus,G_front_middle,0.035
Hippocampus,G_front_middle,0.0
AnteroHippocampus,G_front_middle,0.024
Amygdala,G_front_middle,0.036
S_temporal_transverse,G_front_middle,0.07050000000000001
S_temporal_inf,G_front_middle,0.0125
G_temporal_middle,G_front_middle,0.028
G_temporal_inf,G_front_middle,0.052500000000000005
G_temp_sup-Plan_tempo,G_front_middle,0.1505
G_temp_sup-Plan_polar,G_front_middle,0.027500000000000004
G_temp_sup-Lateral,G_front_middle,0.038000000000000006
G_temp_sup-G_T_transv,G_front_middle,0.032
S_temporal_sup,G_front_middle,0.04
G_and_S_cingul-Ant,G_front_middle,0.108
G_and_S_cingul-Mid-Ant,G_front_middle,0.14150000000000001
G_and_S_cingul-Mid-Post,G_front_middle,0.116
S_cingul-Marginalis,G_front_middle,0.040499999999999994
G_cingul-Post-ventral,G_front_middle,
S_pericallosal,G_front_middle,0.123
G_cingul-Post-dorsal,G_front_middle,0.042
S_parieto_occipital,G_front_middle,0.05449999999999999
S_subparietal,G_front_middle,0.035500000000000004
S_intrapariet_and_P_trans,G_front_middle,0.08299999999999999
G_pariet_inf-Angular,G_front_middle,0.0695
G_parietal_sup,G_front_middle,0.0145
G_pariet_inf-Supramar,G_front_middle,0.07400000000000001
S_interm_prim-Jensen,G_front_middle,0.1035
G_and_S_occipital_inf,G_front_middle,0.0
G_occipital_middle,G_front_middle,0.014
G_occipital_sup,G_front_middle,0.0
Pole_occipital,G_front_middle,
S_calcarine,G_front_middle,0.0
S_oc_middle_and_Lunatus,G_front_middle,0.0
S_oc_sup_and_transversal,G_front_middle,0.0
S_occipital_ant,G_front_middle,0.0
G_front_inf-Triangul,G_front_sup,0.087
G_front_middle,G_front_sup,0.1125
G_front_sup,G_front_sup,0.3045
Lat_Fis-ant-Horizont,G_front_sup,0.0985
Lat_Fis-ant-Vertical,G_front_sup,0.1565
Lat_Fis-post,G_front_sup,0.22349999999999998
S_front_inf,G_front_sup,0.135
