StimR,ChanR,probability
S_subparietal,S_orbital_med-olfact,0.316
S_intrapariet_and_P_trans,S_orbital_med-olfact,0.016
G_pariet_inf-Angular,S_orbital_med-olfact,0.0
G_parietal_sup,S_orbital_med-olfact,
G_pariet_inf-Supramar,S_orbital_med-olfact,0.0085
S_interm_prim-Jensen,S_orbital_med-olfact,0.1
G_and_S_occipital_inf,S_orbital_med-olfact,0.133
G_occipital_middle,S_orbital_med-olfact,0.0
G_occipital_sup,S_orbital_med-olfact,
Pole_occipital,S_orbital_med-olfact,
S_calcarine,S_orbital_med-olfact,0.0
S_oc_middle_and_Lunatus,S_orbital_med-olfact,
S_oc_sup_and_transversal,S_orbital_med-olfact,
S_occipital_ant,S_orbital_med-olfact,0.0
G_front_inf-Triangul,S_orbital-H_Shaped,0.249
G_front_middle,S_orbital-H_Shaped,0.092
G_front_sup,S_orbital-H_Shaped,0.0675
Lat_Fis-ant-Horizont,S_orbital-H_Shaped,0.3855
Lat_Fis-ant-Vertical,S_orbital-H_Shaped,0.2345
Lat_Fis-post,S_orbital-H_Shaped,0.0875
S_front_inf,S_orbital-H_Shaped,0.229
S_front_middle,S_orbital-H_Shaped,0.1525
S_front_sup,S_orbital-H_Shaped,0.042
G_front_inf-Orbital,S_orbital-H_Shaped,0.368
G_front_inf-Opercular,S_orbital-H_Shaped,0.143
G_and_S_frontomargin,S_orbital-H_Shaped,0.307
G_orbital,S_orbital-H_Shaped,0.496
G_rectus,S_orbital-H_Shaped,0.3575
G_subcallosal,S_orbital-H_Shaped,0.0
S_orbital_lateral,S_orbital-H_Shaped,0.46
S_orbital_med-olfact,S_orbital-H_Shaped,0.483
S_orbital-H_Shaped,S_orbital-H_Shaped,0.647
S_suborbital,S_orbital-H_Shaped,0.425
S_circular_insula_sup,S_orbital-H_Shaped,0.14300000000000002
S_circular_insula_ant,S_orbital-H_Shaped,0.4895
S_circular_insula_inf,S_orbital-H_Shaped,0.0655
G_insular_short,S_orbital-H_Shaped,0.2255
G_Ins_lg_and_S_cent_ins,S_orbital-H_Shaped,0.051500000000000004
S_precentral-sup-part,S_orbital-H_Shaped,0.013
S_precentral-inf-part,S_orbital-H_Shaped,0.0745
S_postcentral,S_orbital-H_Shaped,0.0525
G_and_S_subcentral,S_orbital-H_Shaped,0.039999999999999994
S_central,S_orbital-H_Shaped,0.016
G_postcentral,S_orbital-H_Shaped,0.0165
G_and_S_paracentral,S_orbital-H_Shaped,0.0185
G_precentral,S_orbital-H_Shaped,0.013499999999999998
G_oc-temp_med-Lingual,S_orbital-H_Shaped,0.0
S_oc-temp_med_and_Lingual,S_orbital-H_Shaped,0.0375
S_oc-temp_lat,S_orbital-H_Shaped,0.0355
G_oc-temp_lat-fusifor,S_orbital-H_Shaped,0.072
S_collat_transv_post,S_orbital-H_Shaped,
S_collat_transv_ant,S_orbital-H_Shaped,0.0605
Pole_temporal,S_orbital-H_Shaped,0.0315
G_oc-temp_med-Parahip,S_orbital-H_Shaped,0.0485
PosteroHippocampus,S_orbital-H_Shaped,0.031
Hippocampus,S_orbital-H_Shaped,0.0385
AnteroHippocampus,S_orbital-H_Shaped,0.0365
Amygdala,S_orbital-H_Shaped,0.1085
S_temporal_transverse,S_orbital-H_Shaped,0.0315
S_temporal_inf,S_orbital-H_Shaped,0.043
G_temporal_middle,S_orbital-H_Shaped,0.024
G_temporal_inf,S_orbital-H_Shaped,0.0385
G_temp_sup-Plan_tempo,S_orbital-H_Shaped,0.025
G_temp_sup-Plan_polar,S_orbital-H_Shaped,0.0765
G_temp_sup-Lateral,S_orbital-H_Shaped,0.027999999999999997
G_temp_sup-G_T_transv,S_orbital-H_Shaped,0.0405
S_temporal_sup,S_orbital-H_Shaped,0.034
G_and_S_cingul-Ant,S_orbital-H_Shaped,0.2215
G_and_S_cingul-Mid-Ant,S_orbital-H_Shaped,0.058499999999999996
G_and_S_cingul-Mid-Post,S_orbital-H_Shaped,0.057999999999999996
S_cingul-Marginalis,S_orbital-H_Shaped,0.0095
G_cingul-Post-ventral,S_orbital-H_Shaped,0.0
S_pericallosal,S_orbital-H_Shaped,0.1935
G_cingul-Post-dorsal,S_orbital-H_Shaped,0.094
S_parieto_occipital,S_orbital-H_Shaped,0.0245
S_subparietal,S_orbital-H_Shaped,0.0295
S_intrapariet_and_P_trans,S_orbital-H_Shaped,0.0395
G_pariet_inf-Angular,S_orbital-H_Shaped,0.013
G_parietal_sup,S_orbital-H_Shaped,0.0105
G_pariet_inf-Supramar,S_orbital-H_Shaped,0.029
S_interm_prim-Jensen,S_orbital-H_Shaped,0.0245
G_and_S_occipital_inf,S_orbital-H_Shaped,0.0
G_occipital_middle,S_orbital-H_Shaped,0.0
G_occipital_sup,S_orbital-H_Shaped,
Pole_occipital,S_orbital-H_Shaped,
S_calcarine,S_orbital-H_Shaped,0.0
S_oc_middle_and_Lunatus,S_orbital-H_Shaped,0.0
S_oc_sup_and_transversal,S_orbital-H_Shaped,0.0
S_occipital_ant,S_orbital-H_Shaped,0.0
G_front_inf-Triangul,S_suborbital,0.07300000000000001
G_front_middle,S_suborbital,0.043
G_front_sup,S_suborbital,0.1275
Lat_Fis-ant-Horizont,S_suborbital,0.1965
Lat_Fis-ant-Vertical,S_suborbital,0.122
Lat_Fis-post,S_suborbital,0.0255
S_front_inf,S_suborbital,0.041
S_front_middle,S_suborbital,0.1135
S_front_sup,S_suborbital,0.067
G_front_inf-Orbital,S_suborbital,0.1365
G_front_inf-Opercular,S_suborbital,0.0505
G_and_S_frontomargin,S_suborbital,0.508
G_orbital,S_suborbital,0.3075
G_rectus,S_suborbital,0.6065
G_subcallosal,S_suborbital,
S_orbital_lateral,S_suborbital,0.121
S_orbital_med-olfact,S_suborbital,0.511
S_orbital-H_Shaped,S_suborbital,0.46799999999999997
S_suborbital,S_suborbital,0.8454999999999999
S_circular_insula_sup,S_suborbital,0.056999999999999995
S_circular_insula_ant,S_suborbital,0.35000000000000003
S_circular_insula_inf,S_suborbital,0.058499999999999996
G_insular_short,S_suborbital,0.1235
G_Ins_lg_and_S_cent_ins,S_suborbital,0.02
S_precentral-sup-part,S_suborbital,0.0
S_precentral-inf-part,S_suborbital,0.013
S_postcentral,S_suborbital,0.0555
G_and_S_subcentral,S_suborbital,0.0195
S_central,S_suborbital,0.0135
G_postcentral,S_suborbital,0.0
G_and_S_paracentral,S_suborbital,0.0
G_precentral,S_suborbital,0.0
G_oc-temp_med-Lingual,S_suborbital,0.0
S_oc-temp_med_and_Lingual,S_suborbital,0.0155
S_oc-temp_lat,S_suborbital,0.0105
G_oc-temp_lat-fusifor,S_suborbital,0.021
S_collat_transv_post,S_suborbital,
S_collat_transv_ant,S_suborbital,0.061
Pole_temporal,S_suborbital,0.028499999999999998
G_oc-temp_med-Parahip,S_suborbital,0.0305
PosteroHippocampus,S_suborbital,0.019
Hippocampus,S_suborbital,0.08
AnteroHippocampus,S_suborbital,0.0215
Amygdala,S_suborbital,0.0485
S_temporal_transverse,S_suborbital,0.02
S_temporal_inf,S_suborbital,0.0255
G_temporal_middle,S_suborbital,0.042499999999999996
G_temporal_inf,S_suborbital,0.037
G_temp_sup-Plan_tempo,S_suborbital,0.024
G_temp_sup-Plan_polar,S_suborbital,0.047
G_temp_sup-Lateral,S_suborbital,0.025
G_temp_sup-G_T_transv,S_suborbital,0.012
S_temporal_sup,S_suborbital,0.053500000000000006
G_and_S_cingul-Ant,S_suborbital,0.40049999999999997
G_and_S_cingul-Mid-Ant,S_suborbital,0.1275
G_and_S_cingul-Mid-Post,S_suborbital,0.1775
S_cingul-Marginalis,S_suborbital,0.138
G_cingul-Post-ventral,S_suborbital,
S_pericallosal,S_suborbital,0.5305
G_cingul-Post-dorsal,S_suborbital,0.5165
S_parieto_occipital,S_suborbital,0.0
S_subparietal,S_suborbital,0.19
S_intrapariet_and_P_trans,S_suborbital,0.0
G_pariet_inf-Angular,S_suborbital,0.0
G_parietal_sup,S_suborbital,
G_pariet_inf-Supramar,S_suborbital,0.0065
S_interm_prim-Jensen,S_suborbital,
G_and_S_occipital_inf,S_suborbital,
G_occipital_middle,S_suborbital,0.0
G_occipital_sup,S_suborbital,
Pole_occipital,S_suborbital,
S_calcarine,S_suborbital,
S_oc_middle_and_Lunatus,S_suborbital,
S_oc_sup_and_transversal,S_suborbital,
S_occipital_ant,S_suborbital,0.0
G_front_inf-Triangul,S_circular_insula_sup,0.3335
G_front_middle,S_circular_insula_sup,0.095
G_front_sup,S_circular_insula_sup,0.0675
Lat_Fis-ant-Horizont,S_circular_insula_sup,0.4075
Lat_Fis-ant-Vertical,S_circular_insula_sup,0.5815
Lat_Fis-post,S_circular_insula_sup,0.4405
S_front_inf,S_circular_insula_sup,0.3115
S_front_middle,S_circular_insula_sup,0.1565
S_front_sup,S_circular_insula_sup,0.08349999999999999
G_front_inf-Orbital,S_circular_insula_sup,0.173
G_front_inf-Opercular,S_circular_insula_sup,0.5605
G_and_S_frontomargin,S_circular_insula_sup,0.1115
G_orbital,S_circular_insula_sup,0.1265
G_rectus,S_circular_insula_sup,0.02
G_subcallosal,S_circular_insula_sup,
S_orbital_lateral,S_circular_insula_sup,0.14350000000000002
S_orbital_med-olfact,S_circular_insula_sup,0.1285
S_orbital-H_Shaped,S_circular_insula_sup,0.14650000000000002
S_suborbital,S_circular_insula_sup,0.0125
S_circular_insula_sup,S_circular_insula_sup,0.654
S_circular_insula_ant,S_circular_insula_sup,0.5235000000000001
S_circular_insula_inf,S_circular_insula_sup,0.27749999999999997
G_insular_short,S_circular_insula_sup,0.524
G_Ins_lg_and_S_cent_ins,S_circular_insula_sup,0.5145
S_precentral-sup-part,S_circular_insula_sup,0.1245
S_precentral-inf-part,S_circular_insula_sup,0.355
S_postcentral,S_circular_insula_sup,0.175
G_and_S_subcentral,S_circular_insula_sup,0.48850000000000005
S_central,S_circular_insula_sup,0.16349999999999998
G_postcentral,S_circular_insula_sup,0.16399999999999998
G_and_S_paracentral,S_circular_insula_sup,0.0365
G_precentral,S_circular_insula_sup,0.14400000000000002
G_oc-temp_med-Lingual,S_circular_insula_sup,0.013999999999999999
S_oc-temp_med_and_Lingual,S_circular_insula_sup,0.0475
S_oc-temp_lat,S_circular_insula_sup,0.06
G_oc-temp_lat-fusifor,S_circular_insula_sup,0.027
S_collat_transv_post,S_circular_insula_sup,0.0385
S_collat_transv_ant,S_circular_insula_sup,0.0815
Pole_temporal,S_circular_insula_sup,0.051000000000000004
G_oc-temp_med-Parahip,S_circular_insula_sup,0.057999999999999996
PosteroHippocampus,S_circular_insula_sup,0.0665
Hippocampus,S_circular_insula_sup,0.11
AnteroHippocampus,S_circular_insula_sup,0.062
Amygdala,S_circular_insula_sup,0.11199999999999999
S_temporal_transverse,S_circular_insula_sup,0.252
S_temporal_inf,S_circular_insula_sup,0.051000000000000004
G_temporal_middle,S_circular_insula_sup,0.046
G_temporal_inf,S_circular_insula_sup,0.053000000000000005
G_temp_sup-Plan_tempo,S_circular_insula_sup,0.2495
G_temp_sup-Plan_polar,S_circular_insula_sup,0.1625
G_temp_sup-Lateral,S_circular_insula_sup,0.142
G_temp_sup-G_T_transv,S_circular_insula_sup,0.2855
S_temporal_sup,S_circular_insula_sup,0.08249999999999999
G_and_S_cingul-Ant,S_circular_insula_sup,0.081
G_and_S_cingul-Mid-Ant,S_circular_insula_sup,0.1885
G_and_S_cingul-Mid-Post,S_circular_insula_sup,0.1065
S_cingul-Marginalis,S_circular_insula_sup,0.0615
G_cingul-Post-ventral,S_circular_insula_sup,0.0
S_pericallosal,S_circular_insula_sup,0.0795
G_cingul-Post-dorsal,S_circular_insula_sup,0.058499999999999996
S_parieto_occipital,S_circular_insula_sup,0.028
S_subparietal,S_circular_insula_sup,0.0295
S_intrapariet_and_P_trans,S_circular_insula_sup,0.0495
G_pariet_inf-Angular,S_circular_insula_sup,0.026
G_parietal_sup,S_circular_insula_sup,0.0055
G_pariet_inf-Supramar,S_circular_insula_sup,0.28049999999999997
S_interm_prim-Jensen,S_circular_insula_sup,0.057999999999999996
G_and_S_occipital_inf,S_circular_insula_sup,0.0
G_occipital_middle,S_circular_insula_sup,0.0
G_occipital_sup,S_circular_insula_sup,0.0
Pole_occipital,S_circular_insula_sup,
S_calcarine,S_circular_insula_sup,0.0
S_oc_middle_and_Lunatus,S_circular_insula_sup,0.0
S_oc_sup_and_transversal,S_circular_insula_sup,0.0
S_occipital_ant,S_circular_insula_sup,0.075
G_front_inf-Triangul,S_circular_insula_ant,0.4515
G_front_middle,S_circular_insula_ant,0.083
G_front_sup,S_circular_insula_ant,0.10800000000000001
Lat_Fis-ant-Horizont,S_circular_insula_ant,0.7905
Lat_Fis-ant-Vertical,S_circular_insula_ant,0.492
Lat_Fis-post,S_circular_insula_ant,0.15300000000000002
S_front_inf,S_circular_insula_ant,0.2655
S_front_middle,S_circular_insula_ant,0.14900000000000002
S_front_sup,S_circular_insula_ant,0.07450000000000001
G_front_inf-Orbital,S_circular_insula_ant,0.5900000000000001
G_front_inf-Opercular,S_circular_insula_ant,0.3255
G_and_S_frontomargin,S_circular_insula_ant,0.21
G_orbital,S_circular_insula_ant,0.448
G_rectus,S_circular_insula_ant,0.11499999999999999
G_subcallosal,S_circular_insula_ant,
S_orbital_lateral,S_circular_insula_ant,0.4785
S_orbital_med-olfact,S_circular_insula_ant,0.4335
S_orbital-H_Shaped,S_circular_insula_ant,0.4875
S_suborbital,S_circular_insula_ant,0.2175
S_circular_insula_sup,S_circular_insula_ant,0.4215
S_circular_insula_ant,S_circular_insula_ant,0.9065
S_circular_insula_inf,S_circular_insula_ant,0.114
G_insular_short,S_circular_insula_ant,0.4575
G_Ins_lg_and_S_cent_ins,S_circular_insula_ant,0.188
S_precentral-sup-part,S_circular_insula_ant,0.013
S_precentral-inf-part,S_circular_insula_ant,0.11850000000000001
S_postcentral,S_circular_insula_ant,0.048
G_and_S_subcentral,S_circular_insula_ant,0.065
S_central,S_circular_insula_ant,0.0305
G_postcentral,S_circular_insula_ant,0.012
G_and_S_paracentral,S_circular_insula_ant,0.0
G_precentral,S_circular_insula_ant,0.0235
G_oc-temp_med-Lingual,S_circular_insula_ant,0.1
S_oc-temp_med_and_Lingual,S_circular_insula_ant,0.0155
S_oc-temp_lat,S_circular_insula_ant,0.057
G_oc-temp_lat-fusifor,S_circular_insula_ant,0.0
S_collat_transv_post,S_circular_insula_ant,0.0
S_collat_transv_ant,S_circular_insula_ant,0.03
Pole_temporal,S_circular_insula_ant,0.078
G_oc-temp_med-Parahip,S_circular_insula_ant,0.032
PosteroHippocampus,S_circular_insula_ant,0.03
Hippocampus,S_circular_insula_ant,0.0
AnteroHippocampus,S_circular_insula_ant,0.034499999999999996
Amygdala,S_circular_insula_ant,0.181
S_temporal_transverse,S_circular_insula_ant,0.16799999999999998
S_temporal_inf,S_circular_insula_ant,0.042499999999999996
G_temporal_middle,S_circular_insula_ant,0.0335
G_temporal_inf,S_circular_insula_ant,0.035
G_temp_sup-Plan_tempo,S_circular_insula_ant,0.0385
G_temp_sup-Plan_polar,S_circular_insula_ant,0.0775
G_temp_sup-Lateral,S_circular_insula_ant,0.046
G_temp_sup-G_T_transv,S_circular_insula_ant,0.08950000000000001
S_temporal_sup,S_circular_insula_ant,0.08
G_and_S_cingul-Ant,S_circular_insula_ant,0.28049999999999997
G_and_S_cingul-Mid-Ant,S_circular_insula_ant,0.07500000000000001
G_and_S_cingul-Mid-Post,S_circular_insula_ant,0.050499999999999996
S_cingul-Marginalis,S_circular_insula_ant,0.0
G_cingul-Post-ventral,S_circular_insula_ant,
S_pericallosal,S_circular_insula_ant,0.35550000000000004
G_cingul-Post-dorsal,S_circular_insula_ant,0.077
S_parieto_occipital,S_circular_insula_ant,0.0
S_subparietal,S_circular_insula_ant,0.025
S_intrapariet_and_P_trans,S_circular_insula_ant,0.044
G_pariet_inf-Angular,S_circular_insula_ant,0.0455
G_parietal_sup,S_circular_insula_ant,0.0
G_pariet_inf-Supramar,S_circular_insula_ant,0.034
S_interm_prim-Jensen,S_circular_insula_ant,0.0
G_and_S_occipital_inf,S_circular_insula_ant,0.1
G_occipital_middle,S_circular_insula_ant,
G_occipital_sup,S_circular_insula_ant,
Pole_occipital,S_circular_insula_ant,
S_calcarine,S_circular_insula_ant,0.036
S_oc_middle_and_Lunatus,S_circular_insula_ant,
S_oc_sup_and_transversal,S_circular_insula_ant,
S_occipital_ant,S_circular_insula_ant,0.037
G_front_inf-Triangul,S_circular_insula_inf,0.086
G_front_middle,S_circular_insula_inf,0.016
G_front_sup,S_circular_insula_inf,0.015
Lat_Fis-ant-Horizont,S_circular_insula_inf,0.197
Lat_Fis-ant-Vertical,S_circular_insula_inf,0.116
Lat_Fis-post,S_circular_insula_inf,0.4545
S_front_inf,S_circular_insula_inf,0.055999999999999994
S_front_middle,S_circular_insula_inf,0.0225
S_front_sup,S_circular_insula_inf,0.0225
G_front_inf-Orbital,S_circular_insula_inf,0.041
G_front_inf-Opercular,S_circular_insula_inf,0.1835
G_and_S_frontomargin,S_circular_insula_inf,0.0095
G_orbital,S_circular_insula_inf,0.038
G_rectus,S_circular_insula_inf,0.028499999999999998
G_subcallosal,S_circular_insula_inf,0.321
S_orbital_lateral,S_circular_insula_inf,0.017
S_orbital_med-olfact,S_circular_insula_inf,0.0435
S_orbital-H_Shaped,S_circular_insula_inf,0.05
S_suborbital,S_circular_insula_inf,0.024999999999999998
S_circular_insula_sup,S_circular_insula_inf,0.34850000000000003
S_circular_insula_ant,S_circular_insula_inf,0.199
S_circular_insula_inf,S_circular_insula_inf,0.5825
G_insular_short,S_circular_insula_inf,0.31499999999999995
G_Ins_lg_and_S_cent_ins,S_circular_insula_inf,0.5715
S_precentral-sup-part,S_circular_insula_inf,0.020499999999999997
S_precentral-inf-part,S_circular_insula_inf,0.0995
S_postcentral,S_circular_insula_inf,0.086
G_and_S_subcentral,S_circular_insula_inf,0.278
S_central,S_circular_insula_inf,0.0495
G_postcentral,S_circular_insula_inf,0.07
G_and_S_paracentral,S_circular_insula_inf,0.08700000000000001
G_precentral,S_circular_insula_inf,0.0345
G_oc-temp_med-Lingual,S_circular_insula_inf,0.0255
S_oc-temp_med_and_Lingual,S_circular_insula_inf,0.0655
S_oc-temp_lat,S_circular_insula_inf,0.055999999999999994
G_oc-temp_lat-fusifor,S_circular_insula_inf,0.065
S_collat_transv_post,S_circular_insula_inf,0.122
S_collat_transv_ant,S_circular_insula_inf,0.168
Pole_temporal,S_circular_insula_inf,0.1205
G_oc-temp_med-Parahip,S_circular_insula_inf,0.189
PosteroHippocampus,S_circular_insula_inf,0.23600000000000002
Hippocampus,S_circular_insula_inf,0.026
AnteroHippocampus,S_circular_insula_inf,0.22
Amygdala,S_circular_insula_inf,0.2895
S_temporal_transverse,S_circular_insula_inf,0.5820000000000001
S_temporal_inf,S_circular_insula_inf,0.077
G_temporal_middle,S_circular_insula_inf,0.108
G_temporal_inf,S_circular_insula_inf,0.08299999999999999
G_temp_sup-Plan_tempo,S_circular_insula_inf,0.3435
G_temp_sup-Plan_polar,S_circular_insula_inf,0.348
G_temp_sup-Lateral,S_circular_insula_inf,0.28600000000000003
G_temp_sup-G_T_transv,S_circular_insula_inf,0.528
S_temporal_sup,S_circular_insula_inf,0.2
G_and_S_cingul-Ant,S_circular_insula_inf,0.0245
G_and_S_cingul-Mid-Ant,S_circular_insula_inf,0.024
G_and_S_cingul-Mid-Post,S_circular_insula_inf,0.1115
S_cingul-Marginalis,S_circular_insula_inf,0.121
G_cingul-Post-ventral,S_circular_insula_inf,0.066
S_pericallosal,S_circular_insula_inf,0.0935
G_cingul-Post-dorsal,S_circular_insula_inf,0.0215
S_parieto_occipital,S_circular_insula_inf,0.0165
S_subparietal,S_circular_insula_inf,0.028
S_intrapariet_and_P_trans,S_circular_insula_inf,0.0385
G_pariet_inf-Angular,S_circular_insula_inf,0.0175
G_parietal_sup,S_circular_insula_inf,0.027999999999999997
G_pariet_inf-Supramar,S_circular_insula_inf,0.16449999999999998
S_interm_prim-Jensen,S_circular_insula_inf,0.1565
G_and_S_occipital_inf,S_circular_insula_inf,0.022
G_occipital_middle,S_circular_insula_inf,0.0105
G_occipital_sup,S_circular_insula_inf,0.0265
Pole_occipital,S_circular_insula_inf,0.0035
S_calcarine,S_circular_insula_inf,0.024499999999999997
S_oc_middle_and_Lunatus,S_circular_insula_inf,0.023
S_oc_sup_and_transversal,S_circular_insula_inf,0.025
S_occipital_ant,S_circular_insula_inf,0.057499999999999996
G_front_inf-Triangul,G_insular_short,0.3275
G_front_middle,G_insular_short,0.045
G_front_sup,G_insular_short,0.07
Lat_Fis-ant-Horizont,G_insular_short,0.39049999999999996
Lat_Fis-ant-Vertical,G_insular_short,0.5640000000000001
Lat_Fis-post,G_insular_short,0.2265
S_front_inf,G_insular_short,0.247
S_front_middle,G_insular_short,0.11299999999999999
S_front_sup,G_insular_short,0.0615
G_front_inf-Orbital,G_insular_short,0.28750000000000003
G_front_inf-Opercular,G_insular_short,0.486
G_and_S_frontomargin,G_insular_short,0.026
G_orbital,G_insular_short,0.21400000000000002
G_rectus,G_insular_short,0.052000000000000005
G_subcallosal,G_insular_short,
S_orbital_lateral,G_insular_short,0.126
S_orbital_med-olfact,G_insular_short,0.219
S_orbital-H_Shaped,G_insular_short,0.2405
S_suborbital,G_insular_short,0.061
S_circular_insula_sup,G_insular_short,0.5765
S_circular_insula_ant,G_insular_short,0.5565
S_circular_insula_inf,G_insular_short,0.263
G_insular_short,G_insular_short,0.6255
G_Ins_lg_and_S_cent_ins,G_insular_short,0.37250000000000005
S_precentral-sup-part,G_insular_short,0.0315
S_precentral-inf-part,G_insular_short,0.199
S_postcentral,G_insular_short,0.041999999999999996
G_and_S_subcentral,G_insular_short,0.20750000000000002
S_central,G_insular_short,0.038
G_postcentral,G_insular_short,0.0165
G_and_S_paracentral,G_insular_short,0.0215
G_precentral,G_insular_short,0.040999999999999995
G_oc-temp_med-Lingual,G_insular_short,0.023
S_oc-temp_med_and_Lingual,G_insular_short,0.028999999999999998
S_oc-temp_lat,G_insular_short,0.0335
G_oc-temp_lat-fusifor,G_insular_short,0.0455
S_collat_transv_post,G_insular_short,
S_collat_transv_ant,G_insular_short,0.0965
Pole_temporal,G_insular_short,0.127
G_oc-temp_med-Parahip,G_insular_short,0.131
PosteroHippocampus,G_insular_short,0.084
Hippocampus,G_insular_short,0.0
AnteroHippocampus,G_insular_short,0.052000000000000005
Amygdala,G_insular_short,0.1915
S_temporal_transverse,G_insular_short,0.185
S_temporal_inf,G_insular_short,0.114
G_temporal_middle,G_insular_short,0.08299999999999999
G_temporal_inf,G_insular_short,0.08299999999999999
G_temp_sup-Plan_tempo,G_insular_short,0.10350000000000001
G_temp_sup-Plan_polar,G_insular_short,0.377
G_temp_sup-Lateral,G_insular_short,0.15949999999999998
G_temp_sup-G_T_transv,G_insular_short,0.137
S_temporal_sup,G_insular_short,0.0995
G_and_S_cingul-Ant,G_insular_short,0.14250000000000002
G_and_S_cingul-Mid-Ant,G_insular_short,0.11549999999999999
G_and_S_cingul-Mid-Post,G_insular_short,0.0475
S_cingul-Marginalis,G_insular_short,0.014
G_cingul-Post-ventral,G_insular_short,0.0555
S_pericallosal,G_insular_short,0.092
G_cingul-Post-dorsal,G_insular_short,0.006500000000000001
S_parieto_occipital,G_insular_short,0.014
S_subparietal,G_insular_short,0.0315
S_intrapariet_and_P_trans,G_insular_short,0.043
G_pariet_inf-Angular,G_insular_short,0.0125
G_parietal_sup,G_insular_short,0.010499999999999999
G_pariet_inf-Supramar,G_insular_short,0.1075
S_interm_prim-Jensen,G_insular_short,0.0535
G_and_S_occipital_inf,G_insular_short,0.095
G_occipital_middle,G_insular_short,0.0
G_occipital_sup,G_insular_short,0.0715
Pole_occipital,G_insular_short,0.0
S_calcarine,G_insular_short,0.015
S_oc_middle_and_Lunatus,G_insular_short,0.0
S_oc_sup_and_transversal,G_insular_short,0.0
S_occipital_ant,G_insular_short,0.125
G_front_inf-Triangul,G_Ins_lg_and_S_cent_ins,0.095
G_front_middle,G_Ins_lg_and_S_cent_ins,0.023
G_front_sup,G_Ins_lg_and_S_cent_ins,0.031
Lat_Fis-ant-Horizont,G_Ins_lg_and_S_cent_ins,0.176
Lat_Fis-ant-Vertical,G_Ins_lg_and_S_cent_ins,0.2135
Lat_Fis-post,G_Ins_lg_and_S_cent_ins,0.46799999999999997
S_front_inf,G_Ins_lg_and_S_cent_ins,0.0485
S_front_middle,G_Ins_lg_and_S_cent_ins,0.036500000000000005
S_front_sup,G_Ins_lg_and_S_cent_ins,0.012
G_front_inf-Orbital,G_Ins_lg_and_S_cent_ins,0.0425
G_front_inf-Opercular,G_Ins_lg_and_S_cent_ins,0.3135
G_and_S_frontomargin,G_Ins_lg_and_S_cent_ins,0.0
G_orbital,G_Ins_lg_and_S_cent_ins,0.046
G_rectus,G_Ins_lg_and_S_cent_ins,0.0365
G_subcallosal,G_Ins_lg_and_S_cent_ins,
S_orbital_lateral,G_Ins_lg_and_S_cent_ins,0.0145
S_orbital_med-olfact,G_Ins_lg_and_S_cent_ins,0.038
S_orbital-H_Shaped,G_Ins_lg_and_S_cent_ins,0.0755
S_suborbital,G_Ins_lg_and_S_cent_ins,0.0365
S_circular_insula_sup,G_Ins_lg_and_S_cent_ins,0.5455
S_circular_insula_ant,G_Ins_lg_and_S_cent_ins,0.279
S_circular_insula_inf,G_Ins_lg_and_S_cent_ins,0.558
G_insular_short,G_Ins_lg_and_S_cent_ins,0.4655
G_Ins_lg_and_S_cent_ins,G_Ins_lg_and_S_cent_ins,0.7355
S_precentral-sup-part,G_Ins_lg_and_S_cent_ins,0.057
S_precentral-inf-part,G_Ins_lg_and_S_cent_ins,0.20900000000000002
S_postcentral,G_Ins_lg_and_S_cent_ins,0.11599999999999999
G_and_S_subcentral,G_Ins_lg_and_S_cent_ins,0.4085
S_central,G_Ins_lg_and_S_cent_ins,0.0895
G_postcentral,G_Ins_lg_and_S_cent_ins,0.1215
G_and_S_paracentral,G_Ins_lg_and_S_cent_ins,0.02
G_precentral,G_Ins_lg_and_S_cent_ins,0.0615
G_oc-temp_med-Lingual,G_Ins_lg_and_S_cent_ins,0.0205
S_oc-temp_med_and_Lingual,G_Ins_lg_and_S_cent_ins,0.0675
S_oc-temp_lat,G_Ins_lg_and_S_cent_ins,0.061
G_oc-temp_lat-fusifor,G_Ins_lg_and_S_cent_ins,0.0605
S_collat_transv_post,G_Ins_lg_and_S_cent_ins,
S_collat_transv_ant,G_Ins_lg_and_S_cent_ins,0.201
Pole_temporal,G_Ins_lg_and_S_cent_ins,0.1685
G_oc-temp_med-Parahip,G_Ins_lg_and_S_cent_ins,0.16899999999999998
PosteroHippocampus,G_Ins_lg_and_S_cent_ins,0.1375
Hippocampus,G_Ins_lg_and_S_cent_ins,0.385
AnteroHippocampus,G_Ins_lg_and_S_cent_ins,0.14350000000000002
Amygdala,G_Ins_lg_and_S_cent_ins,0.2555
S_temporal_transverse,G_Ins_lg_and_S_cent_ins,0.3825
S_temporal_inf,G_Ins_lg_and_S_cent_ins,0.057
G_temporal_middle,G_Ins_lg_and_S_cent_ins,0.07100000000000001
G_temporal_inf,G_Ins_lg_and_S_cent_ins,0.0945
G_temp_sup-Plan_tempo,G_Ins_lg_and_S_cent_ins,0.254
G_temp_sup-Plan_polar,G_Ins_lg_and_S_cent_ins,0.345
G_temp_sup-Lateral,G_Ins_lg_and_S_cent_ins,0.25
G_temp_sup-G_T_transv,G_Ins_lg_and_S_cent_ins,0.6065
S_temporal_sup,G_Ins_lg_and_S_cent_ins,0.1325
G_and_S_cingul-Ant,G_Ins_lg_and_S_cent_ins,0.032
G_and_S_cingul-Mid-Ant,G_Ins_lg_and_S_cent_ins,0.0675
